Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Due Date,Project Type,Project Periodicity,Note Plateforme,funded
Anticafe,50000.0,lendopolis,9.5,Clos,791915879,20/02/2019,amortizing,monthly,,
SARL Red Studio,90000.0,lendix,6.55,Clos,491799235,20/02/2019,amortizing,monthly,C,
Frank B.V.,1000000.0,lendix,4.5,Clos,02083727,22/02/2019,amortizing,monthly,B+,
SAS Hristov,30000.0,lendopolis,7.5,Clos,840234595,04/02/2019,amortizing,monthly,,
B SQUARE,400000.0,credit.fr,6.2,Clos,802354811,22/01/2019,amortizing,monthly,B,
Reprise d'un magasin Devred à Narbonne,50000.0,lesentrepreteurs,9.0,Clos,800419319,08/02/2019,amortizing,monthly,D,
PHONES AND PILES,40000.0,credit.fr,5.6,Clos,795214428,10/01/2019,amortizing,monthly,B,
Intégrale,60000.0,lendix,4.6,Clos,502998438,26/12/2018,amortizing,monthly,B+,
Acuster,2000000.0,lendix,6.75,Clos,B63760417,24/12/2018,amortizing,monthly,B,
LE J,95000.0,credit.fr,5.6,Clos,794459628,26/12/2018,amortizing,monthly,B,
CABINET LETORT,30000.0,credit.fr,5.9,Clos,495176737,21/12/2018,amortizing,monthly,B,
Wal-Cor-Corsanini di Carlo Santini&c,2000000.0,lendix,6.2,Clos,00735160194,18/12/2018,delayed,monthly,B,
Financement développement du Tabarlet,33000.0,lesentrepreteurs,8.5,Clos,827878638,16/12/2018,amortizing,monthly,D,
BARACH SERVICES,35000.0,credit.fr,6.9,Clos,818473407,21/11/2018,amortizing,monthly,C+,
Setic,1000000.0,lookandfin,6.0,Clos,342635570,16/11/2018,amortizing,monthly,C,
Maison 86,150000.0,bolden,7.7,Clos,530974021,29/11/2018,amortizing,monthly,C,
Carimat Matériaux,1500000.0,lookandfin,6.5,Clos,,11/11/2018,amortizing,monthly,C,
Alkor Draka,623000.0,lendix,5.4,Clos,392099214,13/11/2018,amortizing,monthly,B,
TRIPARTITE,500000.0,credit.fr,4.3,Clos,439498353,08/11/2018,amortizing,monthly,B+,
AVENIR RESEAUX ET COMMUNICATIONS,80000.0,credit.fr,7.3,Clos,492140173,30/10/2018,amortizing,monthly,C,
AntiCafé @ Innovation Factory,75000.0,lendopolis,7.5,Clos,804263945,18/10/2018,amortizing,monthly,,
LIBRE SERVICE DE BORRIGLIONE,35000.0,credit.fr,7.8,Clos,400771796,09/10/2018,amortizing,monthly,C,
Kingooroo,35000.0,bolden,7.5,Clos,531009249,04/10/2018,amortizing,monthly,C,
Herederos Tabernillas SL,90000.0,lendix,4.8,Clos,B99461402,04/10/2018,amortizing,monthly,B+,
Smilodon,313070.0,lendix,5.4,Clos,838237386,30/09/2018,amortizing,monthly,A,
SETIC,515000.0,credit.fr,5.6,Clos,342635570,03/10/2018,amortizing,monthly,B+,
ALLO BARLIN TAXI,40000.0,pretup,8.5,Clos,812931954,27/09/2018,amortizing,monthly,C,
Barbara Vrillac,85000.0,credit.fr,7.2,Clos,341455897,24/09/2018,amortizing,monthly,B,
La Compagnie Ligerienne,100000.0,lendopolis,8.25,Clos,528375439,03/10/2018,amortizing,monthly,,
EELSA,100000.0,pretup,8.5,Clos,821511466,29/08/2018,amortizing,monthly,C,
Acquisition d'outils de production avicoles,30000.0,lesentrepreteurs,9.0,Clos,841029093,17/09/2018,amortizing,monthly,D,
Ouverture d'un Cash Express à Fresnes,20000.0,lesentrepreteurs,8.5,Clos,841082266,30/09/2018,amortizing,monthly,C,
La bonne paye,20000.0,prexem,7.8,autre,537758351,08/08/2018,amortizing,monthly,B,
Kamaladdin,110000.0,lendopolis,9.5,Clos,837738202,20/09/2018,amortizing,monthly,,
Netco Group,1000000.0,wesharebonds,6.0,Clos,442478723,05/08/2018,amortizing,monthly,,
